id;status_group
67362;Functional
61861;Non-functional
72139;Non-functional
3398;Functional
62911;Functional
48152;Non-functional
48001;Functional
64118;Functional
65793;Functional
61557;Functional
32352;Functional
1830;Functional
50553;Functional
51961;Functional
38481;Non-functional
48371;Functional
56540;Non-functional
18142;Functional
72934;Functional
39300;Non-functional
40115;Non-functional
3793;Non-functional
59318;Functional
68070;Functional
67527;Non-functional
34898;Non-functional
26592;Functional
67682;Functional
52394;Functional
32218;Functional
69045;Functional
12808;Functional
49250;Functional
64126;Functional
64903;Non-functional
35165;Non-functional
9543;Functional
64635;Functional
47929;Functional
28329;Non-functional
67954;Non-functional
16575;Non-functional
16612;Non-functional
27003;Functional
73324;Non-functional
7043;Non-functional
22174;Non-functional
19450;Functional
35825;Functional
9854;Non-functional
23254;Functional
72170;Functional
61999;Functional
70354;Non-functional
6877;Non-functional
47323;Non-functional
48624;Non-functional
6148;Non-functional
59698;Non-functional
67268;Functional
59174;Non-functional
68916;Non-functional
28358;Functional
57453;Functional
71952;Non-functional
1761;Functional
15234;Functional
60021;Functional
22567;Functional
17695;Non-functional
19872;Functional
22828;Non-functional
34896;Functional
35570;Functional
41325;Non-functional
8831;Functional
5345;Functional
19379;Non-functional
5514;Functional
61654;Functional
40482;Non-functional
43123;Functional
40492;Non-functional
68733;Non-functional
3952;Functional
70288;Non-functional
30085;Functional
65837;Non-functional
34752;Functional
2465;Non-functional
11466;Non-functional
22313;Functional
30179;Non-functional
23505;Functional
48424;Functional
11150;Functional
70368;Functional
26935;Non-functional
5919;Functional
2134;Functional
16652;Functional
59302;Non-functional
24210;Non-functional
6211;Non-functional
19743;Functional
10760;Functional
48104;Non-functional
50171;Non-functional
63137;Functional
38301;Functional
10948;Functional
33232;Functional
61415;Non-functional
69131;Functional
73555;Functional
46610;Non-functional
20922;Non-functional
55743;Functional
19341;Non-functional
9588;Non-functional
3293;Functional
55490;Functional
67678;Non-functional
36119;Non-functional
62775;Non-functional
68162;Non-functional
66128;Non-functional
12036;Functional
15739;Non-functional
57048;Non-functional
15825;Non-functional
45590;Functional
18055;Non-functional
34073;Non-functional
14860;Non-functional
53713;Functional
69327;Non-functional
60169;Functional
26798;Functional
37122;Functional
45156;Functional
22874;Non-functional
58774;Functional
40092;Non-functional
17487;Functional
35886;Non-functional
49892;Functional
66338;Non-functional
35481;Non-functional
4135;Functional
54191;Functional
31349;Functional
72271;Non-functional
48863;Functional
13758;Non-functional
33443;Functional
12003;Non-functional
10845;Non-functional
47;Non-functional
70492;Functional
11346;Functional
20126;Functional
51000;Non-functional
64505;Functional
58329;Functional
6311;Non-functional
22286;Functional
35013;Functional
6274;Functional
30904;Non-functional
46606;Functional
18461;Functional
15256;Non-functional
625;Non-functional
42122;Functional
18277;Non-functional
68501;Functional
8816;Functional
62879;Functional
18554;Functional
27712;Functional
46935;Non-functional
57804;Non-functional
57711;Functional
5516;Non-functional
8305;Functional
57410;Functional
51412;Non-functional
25863;Functional
35994;Non-functional
55279;Non-functional
74102;Non-functional
38277;Functional
1998;Functional
52056;Non-functional
63679;Functional
71762;Non-functional
71432;Functional
45592;Functional
13663;Non-functional
62227;Non-functional
3730;Non-functional
2451;Functional
46418;Non-functional
45996;Non-functional
60911;Non-functional
46089;Functional
65579;Functional
40407;Non-functional
66663;Non-functional
26597;Non-functional
50540;Functional
58133;Non-functional
1493;Non-functional
31503;Non-functional
17910;Non-functional
19466;Functional
38120;Non-functional
66553;Functional
31696;Functional
51318;Non-functional
33584;Non-functional
48678;Non-functional
36112;Non-functional
6294;Non-functional
40612;Non-functional
62793;Functional
58090;Non-functional
2532;Non-functional
38865;Non-functional
35462;Non-functional
51709;Functional
40624;Non-functional
41745;Functional
42315;Functional
38952;Non-functional
45540;Non-functional
73833;Functional
27771;Non-functional
9336;Non-functional
12545;Functional
54811;Non-functional
48326;Functional
31787;Non-functional
61745;Non-functional
42091;Functional
43727;Functional
46917;Functional
26718;Functional
3138;Non-functional
72932;Functional
25707;Non-functional
68580;Non-functional
25064;Functional
7624;Non-functional
3830;Non-functional
13458;Functional
57377;Functional
37294;Non-functional
39561;Non-functional
23237;Non-functional
72484;Non-functional
56490;Functional
13706;Non-functional
43035;Functional
14084;Non-functional
55875;Functional
17299;Functional
1793;Functional
70943;Functional
65720;Functional
49165;Functional
18879;Functional
3574;Non-functional
56735;Functional
45481;Non-functional
51772;Non-functional
74095;Non-functional
54000;Functional
34834;Functional
50175;Functional
35733;Functional
6808;Non-functional
27311;Functional
73303;Non-functional
70335;Non-functional
2691;Non-functional
12582;Functional
49536;Non-functional
23715;Non-functional
45445;Functional
52609;Functional
35087;Non-functional
42767;Functional
24373;Functional
32895;Non-functional
9328;Non-functional
23275;Non-functional
20054;Non-functional
8378;Functional
47432;Functional
49863;Functional
57828;Functional
31169;Functional
38382;Non-functional
31205;Functional
23528;Functional
26507;Non-functional
67091;Non-functional
47734;Functional
927;Functional
48521;Non-functional
16963;Functional
48233;Non-functional
58989;Non-functional
2399;Non-functional
23530;Functional
46271;Non-functional
71726;Functional
23526;Non-functional
49861;Non-functional
22619;Non-functional
41264;Non-functional
20623;Functional
35694;Functional
68210;Non-functional
13446;Functional
11321;Functional
56312;Functional
19533;Non-functional
7275;Functional
48614;Functional
65873;Functional
9008;Functional
36817;Functional
25767;Non-functional
38460;Non-functional
16756;Non-functional
13310;Functional
36514;Functional
57548;Functional
2809;Functional
70632;Functional
17260;Functional
27950;Functional
40629;Non-functional
64155;Functional
50640;Non-functional
67355;Functional
32132;Non-functional
70868;Functional
45823;Non-functional
19985;Functional
61834;Non-functional
54171;Non-functional
62763;Functional
42408;Functional
13151;Functional
28311;Functional
57775;Non-functional
37603;Non-functional
56357;Non-functional
37845;Non-functional
57177;Non-functional
12821;Functional
8193;Functional
49031;Non-functional
14011;Non-functional
33708;Non-functional
68898;Non-functional
37198;Non-functional
11151;Non-functional
22264;Functional
49694;Functional
47318;Non-functional
46108;Non-functional
28297;Non-functional
36340;Functional
26987;Non-functional
5766;Functional
25979;Non-functional
73021;Non-functional
11908;Functional
47496;Functional
61777;Functional
47591;Functional
8968;Functional
45656;Non-functional
39630;Functional
2786;Non-functional
958;Functional
55843;Functional
52074;Non-functional
23422;Functional
55802;Functional
61634;Functional
1625;Functional
37398;Non-functional
51011;Functional
49595;Functional
22486;Non-functional
22916;Functional
45204;Non-functional
74223;Functional
35533;Functional
30595;Functional
47319;Non-functional
32555;Non-functional
9520;Non-functional
53253;Non-functional
36436;Non-functional
15036;Functional
23175;Functional
41998;Functional
19345;Non-functional
1198;Non-functional
39848;Functional
39278;Functional
39844;Functional
17332;Functional
51287;Non-functional
49514;Non-functional
64288;Functional
41782;Functional
54572;Functional
68079;Functional
68017;Non-functional
66705;Functional
5274;Functional
58230;Non-functional
51010;Non-functional
46242;Non-functional
1917;Non-functional
9361;Non-functional
33043;Non-functional
56633;Non-functional
57518;Functional
51128;Non-functional
4388;Functional
62267;Non-functional
72473;Non-functional
70957;Functional
35399;Functional
33236;Functional
73183;Non-functional
52939;Functional
66929;Non-functional
54326;Functional
16343;Functional
33013;Functional
60384;Non-functional
41074;Functional
71997;Non-functional
35190;Functional
3425;Non-functional
4335;Functional
7399;Functional
46431;Functional
40845;Functional
27347;Functional
10981;Functional
36447;Functional
67485;Functional
11220;Functional
45857;Non-functional
21806;Non-functional
8771;Functional
45535;Non-functional
8671;Non-functional
2252;Non-functional
58078;Non-functional
61068;Non-functional
69204;Non-functional
28326;Functional
46930;Non-functional
52104;Functional
31732;Non-functional
21584;Functional
17045;Functional
14404;Functional
34699;Functional
39930;Non-functional
38744;Functional
4339;Functional
54735;Functional
51916;Non-functional
58114;Non-functional
28339;Functional
52048;Non-functional
66497;Non-functional
18353;Functional
16701;Functional
59499;Non-functional
66042;Non-functional
43965;Functional
48361;Functional
70766;Functional
9510;Non-functional
28586;Non-functional
28521;Non-functional
18050;Functional
73151;Non-functional
45011;Functional
64380;Functional
66896;Functional
40184;Functional
67207;Functional
70178;Functional
54063;Non-functional
39252;Functional
53773;Functional
47931;Functional
44168;Non-functional
66540;Functional
54089;Non-functional
29244;Non-functional
27525;Non-functional
58991;Functional
18087;Functional
67803;Functional
48006;Functional
11788;Functional
16100;Functional
16382;Functional
21208;Non-functional
8637;Functional
67008;Non-functional
67914;Functional
7041;Non-functional
43181;Non-functional
26191;Non-functional
14766;Functional
49812;Functional
12705;Functional
25422;Non-functional
9399;Non-functional
4239;Functional
49442;Functional
32;Functional
11443;Non-functional
15492;Functional
63498;Functional
12708;Non-functional
19483;Functional
31204;Functional
33445;Functional
40820;Functional
10279;Non-functional
46718;Non-functional
39000;Non-functional
45897;Functional
62154;Non-functional
50034;Functional
11853;Functional
40426;Functional
41168;Functional
58978;Functional
31363;Functional
32736;Functional
29058;Functional
23824;Non-functional
61885;Non-functional
59187;Non-functional
73243;Functional
62915;Functional
1784;Functional
65951;Functional
20661;Functional
55504;Non-functional
66975;Non-functional
72057;Functional
49331;Functional
52682;Non-functional
37859;Non-functional
10460;Functional
12407;Non-functional
69993;Functional
13012;Non-functional
70896;Functional
13264;Functional
51824;Non-functional
60216;Functional
57481;Non-functional
3996;Functional
24854;Functional
43420;Functional
70468;Non-functional
38305;Non-functional
57179;Functional
70388;Functional
67589;Functional
69974;Functional
8854;Functional
71663;Non-functional
69272;Functional
49119;Non-functional
15638;Functional
9086;Functional
56422;Functional
39106;Functional
4515;Non-functional
48594;Non-functional
63779;Functional
60740;Functional
61242;Functional
65001;Functional
2601;Functional
52456;Functional
21873;Non-functional
25505;Non-functional
21890;Non-functional
52336;Non-functional
57756;Functional
45465;Non-functional
4989;Functional
51585;Functional
50533;Functional
54866;Non-functional
23793;Functional
50135;Non-functional
26549;Functional
66920;Functional
35517;Functional
390;Non-functional
13645;Functional
39327;Non-functional
58900;Functional
2100;Functional
31521;Non-functional
277;Non-functional
33937;Functional
42545;Functional
7614;Non-functional
46861;Functional
35278;Non-functional
71773;Functional
52392;Non-functional
47229;Functional
10716;Non-functional
13923;Functional
42206;Non-functional
965;Functional
66646;Non-functional
17301;Non-functional
21533;Functional
37797;Non-functional
19241;Non-functional
15296;Non-functional
41472;Functional
73859;Functional
20153;Functional
71684;Functional
8321;Functional
68979;Functional
48850;Functional
64251;Functional
3583;Non-functional
33326;Non-functional
8500;Functional
67047;Functional
24896;Non-functional
39527;Functional
3089;Non-functional
66477;Functional
24107;Functional
7823;Functional
32016;Functional
35048;Non-functional
70580;Non-functional
47503;Functional
37357;Functional
1195;Non-functional
52309;Non-functional
19655;Functional
39455;Non-functional
52757;Non-functional
62729;Non-functional
24324;Non-functional
51298;Functional
17127;Non-functional
28152;Functional
14259;Non-functional
47461;Functional
65878;Non-functional
58913;Non-functional
70035;Functional
37446;Non-functional
30337;Non-functional
57584;Functional
67193;Functional
62103;Functional
22896;Functional
5934;Non-functional
61722;Functional
9299;Functional
68558;Non-functional
51165;Functional
8657;Non-functional
54952;Functional
53160;Functional
17393;Functional
33016;Non-functional
25929;Non-functional
41102;Functional
11093;Non-functional
52744;Non-functional
23484;Non-functional
13139;Non-functional
55439;Non-functional
41539;Functional
47692;Non-functional
60165;Non-functional
64683;Functional
7089;Functional
13516;Functional
47720;Non-functional
22588;Non-functional
28580;Functional
9075;Non-functional
25066;Non-functional
28284;Functional
67568;Functional
64823;Functional
8243;Non-functional
2556;Functional
58746;Functional
18288;Functional
72822;Functional
5178;Functional
66294;Functional
14451;Functional
48600;Non-functional
27513;Functional
36889;Non-functional
663;Non-functional
10646;Non-functional
35103;Functional
50804;Functional
29635;Functional
47604;Functional
49844;Functional
69068;Functional
43074;Functional
71088;Functional
40470;Functional
21920;Non-functional
51415;Functional
15480;Non-functional
21881;Non-functional
7780;Functional
24908;Functional
53915;Functional
54560;Functional
15498;Functional
20446;Functional
5886;Non-functional
52883;Non-functional
30892;Functional
37432;Non-functional
42574;Functional
61505;Non-functional
44827;Non-functional
5951;Functional
48991;Functional
22821;Functional
46478;Functional
19831;Functional
49317;Functional
18472;Non-functional
58686;Non-functional
47419;Non-functional
44921;Functional
55024;Non-functional
28971;Non-functional
8108;Functional
32182;Functional
40513;Non-functional
372;Non-functional
49297;Functional
24407;Non-functional
44874;Functional
25119;Functional
3882;Non-functional
73443;Functional
56056;Functional
22035;Non-functional
46318;Functional
20802;Functional
41941;Non-functional
12044;Functional
47262;Functional
19337;Functional
38688;Non-functional
45341;Functional
55661;Functional
32322;Functional
41912;Non-functional
26136;Non-functional
13480;Functional
62035;Functional
50343;Non-functional
68537;Non-functional
52293;Functional
17764;Functional
67862;Non-functional
38933;Non-functional
68514;Non-functional
65335;Non-functional
27469;Non-functional
31290;Non-functional
72594;Functional
2854;Functional
19679;Non-functional
46470;Functional
9931;Non-functional
39214;Functional
3982;Functional
29633;Functional
50872;Non-functional
31969;Functional
51280;Non-functional
63438;Non-functional
52302;Non-functional
44486;Functional
4641;Non-functional
47724;Non-functional
4393;Functional
54938;Functional
66983;Non-functional
55870;Non-functional
62561;Non-functional
7975;Functional
9418;Non-functional
4929;Functional
68311;Non-functional
15225;Non-functional
51854;Functional
40247;Non-functional
37958;Functional
19319;Functional
27495;Non-functional
20111;Functional
33231;Functional
44772;Functional
53237;Functional
23279;Non-functional
66738;Non-functional
73053;Functional
31190;Functional
54820;Functional
54173;Functional
40904;Non-functional
43729;Non-functional
63132;Functional
65274;Non-functional
2012;Non-functional
70647;Functional
6067;Functional
47835;Non-functional
14510;Non-functional
34536;Functional
50168;Functional
65018;Non-functional
4960;Functional
19291;Non-functional
11480;Non-functional
74179;Functional
46276;Functional
69469;Functional
51844;Non-functional
13340;Functional
34046;Functional
72429;Non-functional
60034;Functional
36173;Functional
66575;Functional
33778;Non-functional
52807;Non-functional
37283;Non-functional
53688;Functional
54777;Non-functional
10363;Non-functional
42685;Functional
29334;Functional
17320;Functional
7060;Non-functional
3905;Non-functional
14607;Functional
59091;Functional
44927;Non-functional
59415;Functional
59722;Functional
49411;Non-functional
40903;Functional
64786;Non-functional
36207;Non-functional
61178;Functional
55377;Functional
34300;Functional
29483;Non-functional
58576;Non-functional
37659;Functional
63873;Functional
55723;Functional
9950;Functional
49680;Non-functional
30329;Non-functional
64912;Functional
21165;Non-functional
42112;Functional
25108;Functional
55021;Functional
14319;Non-functional
23587;Functional
27217;Non-functional
62333;Functional
3284;Non-functional
38299;Functional
35668;Non-functional
10228;Functional
67801;Non-functional
63324;Functional
33451;Non-functional
46306;Non-functional
37149;Functional
29770;Non-functional
14731;Functional
7963;Functional
55945;Non-functional
7645;Non-functional
7244;Non-functional
40114;Functional
37615;Non-functional
54151;Non-functional
64712;Functional
40499;Non-functional
71171;Non-functional
20712;Functional
20187;Functional
12383;Functional
33364;Functional
9646;Functional
12201;Non-functional
1782;Non-functional
42747;Functional
12125;Functional
53260;Functional
55023;Non-functional
7865;Functional
66269;Non-functional
45049;Functional
4988;Functional
17387;Non-functional
41771;Functional
44806;Non-functional
9157;Functional
70881;Functional
59951;Functional
47581;Non-functional
14986;Functional
71499;Non-functional
32928;Non-functional
11934;Functional
54065;Functional
25479;Functional
38302;Non-functional
32973;Non-functional
52140;Functional
51060;Functional
33106;Functional
55127;Functional
8640;Functional
43117;Functional
9966;Functional
11183;Non-functional
72250;Non-functional
50586;Non-functional
48093;Non-functional
37435;Non-functional
9379;Non-functional
65657;Non-functional
34535;Functional
26262;Non-functional
14458;Functional
33972;Functional
40238;Non-functional
70610;Non-functional
47960;Non-functional
71481;Functional
10946;Functional
68239;Functional
56314;Non-functional
20772;Non-functional
41027;Non-functional
57639;Functional
42841;Functional
8016;Non-functional
38349;Non-functional
68114;Non-functional
53733;Non-functional
53513;Functional
50420;Non-functional
31043;Functional
11436;Functional
66544;Functional
66297;Functional
9975;Functional
21663;Non-functional
66747;Functional
8343;Non-functional
43675;Functional
12325;Non-functional
27609;Functional
70092;Functional
4092;Non-functional
60469;Non-functional
15869;Functional
31689;Non-functional
40197;Functional
35039;Non-functional
19866;Non-functional
65864;Functional
54111;Functional
65616;Non-functional
24954;Functional
55924;Non-functional
48299;Functional
51679;Non-functional
7861;Non-functional
74037;Non-functional
2367;Functional
60329;Functional
16467;Non-functional
36876;Non-functional
42906;Non-functional
58855;Functional
48072;Non-functional
34861;Functional
38446;Functional
25076;Functional
42010;Functional
27880;Functional
49961;Non-functional
32989;Non-functional
17483;Non-functional
54815;Functional
16359;Functional
54840;Non-functional
6252;Non-functional
46589;Non-functional
65044;Functional
52749;Functional
31792;Non-functional
72814;Functional
19523;Functional
32936;Non-functional
28011;Non-functional
49940;Functional
21296;Non-functional
57692;Non-functional
60900;Non-functional
69726;Functional
4707;Functional
5501;Non-functional
37805;Non-functional
20466;Non-functional
915;Functional
15844;Functional
60509;Functional
22552;Functional
47386;Non-functional
8521;Functional
54730;Non-functional
58417;Functional
11731;Non-functional
40490;Non-functional
17385;Functional
63184;Functional
45621;Non-functional
42679;Non-functional
64602;Functional
33317;Non-functional
38658;Functional
64299;Non-functional
36030;Non-functional
18940;Functional
45669;Functional
19668;Functional
44209;Non-functional
73269;Non-functional
72767;Functional
68471;Functional
907;Non-functional
57724;Functional
19492;Functional
18247;Functional
61793;Non-functional
68182;Functional
69769;Functional
1580;Non-functional
9327;Functional
18330;Non-functional
9250;Functional
29932;Non-functional
22830;Non-functional
58200;Functional
30920;Functional
9138;Functional
50234;Non-functional
54691;Functional
16393;Functional
56549;Non-functional
9832;Functional
31881;Non-functional
12886;Functional
58897;Functional
830;Functional
15950;Non-functional
26265;Non-functional
46220;Non-functional
22347;Non-functional
2860;Functional
19021;Functional
3484;Functional
30298;Functional
39782;Non-functional
74005;Functional
5674;Non-functional
9381;Functional
3895;Non-functional
1673;Non-functional
29551;Functional
41475;Non-functional
67870;Functional
2791;Functional
42255;Non-functional
67164;Non-functional
12440;Functional
13193;Non-functional
60880;Non-functional
71008;Non-functional
67514;Functional
34910;Functional
383;Non-functional
23977;Non-functional
70543;Functional
2906;Functional
33810;Functional
10021;Non-functional
46730;Functional
1663;Non-functional
2408;Functional
72505;Functional
65019;Non-functional
42313;Non-functional
340;Non-functional
50285;Functional
3409;Functional
26378;Non-functional
47552;Non-functional
32262;Functional
58637;Functional
34827;Non-functional
63294;Non-functional
44867;Non-functional
26751;Functional
66574;Functional
39354;Functional
21479;Functional
57899;Functional
60079;Non-functional
62070;Functional
20628;Non-functional
11344;Functional
62122;Functional
51867;Non-functional
51667;Non-functional
16857;Functional
27022;Non-functional
10438;Non-functional
57755;Non-functional
22384;Functional
3380;Functional
41843;Functional
35208;Functional
37152;Non-functional
47925;Non-functional
43946;Functional
2932;Functional
11829;Non-functional
59013;Non-functional
48338;Non-functional
71276;Non-functional
62998;Non-functional
6708;Non-functional
9969;Functional
5567;Non-functional
61598;Functional
20745;Functional
72485;Non-functional
53890;Functional
62984;Functional
56024;Functional
64958;Functional
36386;Functional
12970;Functional
63672;Non-functional
1545;Non-functional
68416;Non-functional
53929;Non-functional
59291;Non-functional
20931;Functional
18781;Functional
15430;Non-functional
54042;Functional
56896;Non-functional
2579;Functional
65982;Non-functional
8486;Functional
15871;Non-functional
36433;Functional
65239;Non-functional
42513;Functional
63248;Functional
2959;Functional
64833;Functional
54346;Functional
12284;Non-functional
18056;Non-functional
9415;Functional
10574;Non-functional
67761;Non-functional
2413;Functional
60358;Functional
72803;Functional
71644;Functional
43929;Non-functional
23370;Functional
38121;Non-functional
71352;Functional
26630;Functional
72503;Functional
36667;Non-functional
13838;Non-functional
73762;Non-functional
56917;Functional
64901;Functional
11878;Non-functional
11761;Functional
22410;Functional
29102;Non-functional
36539;Non-functional
9758;Functional
28981;Non-functional
56273;Functional
35854;Non-functional
38840;Non-functional
32235;Functional
36097;Functional
54661;Non-functional
61700;Non-functional
71556;Non-functional
9296;Non-functional
26823;Functional
45401;Functional
862;Functional
12857;Non-functional
60984;Functional
68476;Functional
18299;Functional
48846;Non-functional
6446;Non-functional
63522;Functional
66298;Functional
39348;Functional
25325;Non-functional
38166;Functional
10753;Functional
6496;Non-functional
66416;Functional
47968;Functional
30436;Non-functional
53608;Functional
66036;Non-functional
46595;Non-functional
18890;Non-functional
1978;Non-functional
10656;Functional
69297;Non-functional
43482;Non-functional
43158;Functional
18733;Functional
27893;Functional
72342;Functional
37520;Functional
11453;Non-functional
39911;Non-functional
51620;Functional
18133;Functional
4572;Functional
55691;Functional
42966;Functional
66569;Non-functional
7200;Non-functional
53136;Functional
25723;Non-functional
66123;Functional
7672;Functional
37943;Functional
2142;Functional
66405;Functional
13101;Functional
73963;Non-functional
26444;Non-functional
19007;Functional
71761;Functional
1467;Non-functional
35518;Non-functional
32922;Functional
43852;Functional
29438;Non-functional
56706;Non-functional
39407;Non-functional
58835;Non-functional
43397;Functional
9994;Functional
7622;Non-functional
34194;Functional
13045;Non-functional
32959;Functional
50876;Functional
31094;Functional
37473;Functional
61430;Functional
47922;Functional
52355;Functional
65517;Non-functional
42861;Non-functional
59615;Functional
28406;Non-functional
3716;Functional
219;Functional
2079;Non-functional
3612;Functional
50670;Functional
33118;Non-functional
25722;Functional
56582;Functional
7760;Functional
39295;Functional
68787;Non-functional
64264;Non-functional
35160;Functional
49452;Functional
53668;Non-functional
67380;Functional
45974;Functional
11062;Non-functional
27946;Non-functional
50414;Functional
38773;Non-functional
39624;Functional
72477;Non-functional
61146;Functional
22496;Functional
39554;Non-functional
23463;Non-functional
26384;Non-functional
42071;Functional
38972;Functional
44617;Non-functional
32282;Functional
8586;Functional
36903;Functional
55556;Functional
21436;Functional
17030;Functional
51806;Non-functional
44903;Non-functional
1957;Non-functional
20102;Functional
39391;Functional
10871;Functional
67815;Non-functional
19183;Functional
17711;Functional
59743;Functional
11844;Functional
40062;Non-functional
40682;Non-functional
71690;Functional
22833;Functional
16908;Non-functional
43496;Non-functional
62050;Non-functional
65634;Functional
6309;Non-functional
38784;Functional
38329;Functional
69029;Non-functional
25515;Non-functional
30870;Non-functional
34228;Functional
42698;Functional
31674;Functional
2848;Non-functional
52616;Functional
28760;Functional
1188;Functional
13957;Functional
20847;Non-functional
39895;Functional
44133;Functional
47704;Functional
68173;Functional
40526;Functional
26285;Non-functional
67502;Non-functional
57809;Functional
3915;Non-functional
69110;Functional
21675;Functional
16738;Functional
13627;Functional
13404;Non-functional
16649;Functional
8572;Functional
71169;Non-functional
71519;Functional
72287;Non-functional
19168;Functional
25981;Functional
33996;Non-functional
69749;Functional
53037;Functional
49611;Functional
52353;Non-functional
71599;Functional
29631;Functional
54016;Functional
71623;Non-functional
67739;Non-functional
30275;Functional
29073;Functional
59974;Functional
47612;Functional
15654;Functional
12002;Non-functional
10489;Non-functional
49293;Non-functional
23467;Functional
6668;Functional
6876;Non-functional
11289;Non-functional
30283;Non-functional
55091;Non-functional
26166;Functional
3449;Functional
7498;Functional
62730;Non-functional
68654;Non-functional
5300;Functional
22742;Functional
2653;Non-functional
71210;Functional
24301;Non-functional
51174;Non-functional
57324;Functional
47760;Functional
34478;Non-functional
44012;Functional
50314;Non-functional
24528;Functional
57041;Functional
6407;Functional
42635;Non-functional
73702;Functional
67087;Functional
7398;Non-functional
20430;Non-functional
60819;Functional
59586;Functional
49192;Functional
39902;Non-functional
52301;Non-functional
50482;Functional
36023;Non-functional
42509;Functional
42398;Non-functional
56132;Functional
37018;Functional
33205;Non-functional
57405;Non-functional
66229;Non-functional
22953;Non-functional
67348;Non-functional
10496;Functional
49208;Non-functional
29525;Functional
51648;Functional
49307;Non-functional
6408;Non-functional
53899;Non-functional
46623;Functional
12537;Non-functional
1365;Functional
54115;Functional
52656;Non-functional
40498;Non-functional
48970;Non-functional
56235;Functional
36070;Functional
63964;Functional
32271;Non-functional
15011;Functional
38607;Functional
39836;Non-functional
65630;Non-functional
58295;Non-functional
4210;Non-functional
3161;Functional
21846;Functional
28509;Functional
20933;Functional
20195;Non-functional
528;Functional
55726;Functional
